roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
-47.8843,15.5840,-6.7233,0.1657,0.0821,0.1200,0.0000,0.0000,0.0000,0.1128,-0.0348,-0.0013,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.2047,0.9885,0.0261,-0.0593,-0.1309,0.9967,0.1463,-0.0767,-0.1489,0.0793,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.2172,49.7678,0.0200,0.0000
-47.8366,15.5830,-6.7208,0.0829,0.3283,0.1200,0.0000,0.0000,0.0000,0.1126,-0.0347,-0.0013,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.3501,0.8800,0.0561,-0.0583,-0.1319,0.9958,0.1460,-0.0765,-0.1487,0.0792,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.2586,49.8057,0.0200,0.0000
-47.7872,15.5808,-6.7174,0.0000,0.1642,0.1200,0.0000,0.0000,0.0000,0.1124,-0.0347,-0.0015,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.5351,0.7232,0.0934,-0.0600,-0.1318,0.9903,0.1456,-0.0763,-0.1486,0.0793,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.3000,49.8435,0.0200,0.0000
-47.7354,15.5777,-6.7122,0.1657,0.3283,0.1200,0.0000,0.0000,0.0000,0.1123,-0.0346,-0.0016,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.5963,0.5804,0.1301,-0.0553,-0.1356,0.9942,0.1453,-0.0761,-0.1485,0.0793,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.3415,49.8813,0.0200,0.0000
-47.6818,15.5739,-6.7064,0.0829,0.3283,0.1200,0.0000,0.0000,0.0000,0.1120,-0.0345,-0.0012,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.8536,0.4447,0.0041,-0.0578,-0.1334,0.9961,0.1453,-0.0763,-0.1478,0.0788,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.3829,49.9191,0.0200,0.0000
-47.6267,15.5698,-6.6991,0.0829,0.1642,0.2400,0.0600,0.3200,0.0000,0.1122,-0.0344,0.0001,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.9357,0.4036,0.1945,-0.0591,-0.1326,0.9953,0.1466,-0.0779,-0.1464,0.0777,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.4244,49.9570,0.0400,0.0100
-47.5698,15.5645,-6.6905,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.1117,-0.0344,-0.0014,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,2.0851,0.1670,0.0674,-0.0579,-0.1316,0.9918,0.1446,-0.0759,-0.1475,0.0787,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.4660,49.9948,0.0200,0.0000
-47.5122,15.5583,-6.6813,0.0829,0.3283,0.1200,0.0000,0.0000,0.0000,0.1116,-0.0343,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,2.0058,0.1317,0.1878,-0.0566,-0.1289,1.0003,0.1441,-0.0754,-0.1478,0.0791,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.5075,50.0326,0.0200,0.0000
-47.4535,15.5514,-6.6710,0.1657,0.4104,0.1200,0.0000,0.0000,0.0000,0.1114,-0.0343,-0.0014,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.2062,-0.0233,0.0684,-0.0563,-0.1279,0.9960,0.1442,-0.0757,-0.1471,0.0786,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.5490,50.0704,0.0200,0.0000
-47.3933,15.5440,-6.6599,0.0829,0.1642,0.1200,0.0000,0.0000,0.0000,0.1112,-0.0342,-0.0015,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.2676,-0.1444,0.1047,-0.0591,-0.1258,0.9964,0.1439,-0.0755,-0.1470,0.0786,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.5906,50.1083,0.0200,0.0000
