roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,1.4088,5.9508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
-20.6378,35.8834,-6.6719,-0.0000,-0.1642,-7.8600,-8.0400,-42.8800,0.0000,0.1703,-0.3789,-0.2574,910,1369,1366,1366,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0317,-0.0374,0.0127,-0.0073,-0.0015,0.3659,0.2918,0.4660,-0.8065,0.0488,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,36.1812,-20.1251,-1.3100,-1.3400
-20.3170,35.4699,-6.4789,-0.0829,0.0000,-2.3400,-2.3400,-12.4800,0.0000,0.2152,-0.3260,-0.0409,971,1461,1461,1461,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0523,-0.1231,0.0404,-0.0186,-0.0034,0.9735,0.5003,0.1517,-0.5820,-0.0700,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.7138,-19.8990,-0.3900,-0.3900
-20.2907,35.4369,-6.4631,-0.0000,-0.0821,-0.6000,-0.7800,-4.1600,0.0000,0.2299,-0.3124,-0.0159,991,1490,1487,1487,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0215,-0.0563,0.0432,-0.0209,-0.0015,1.0065,0.5263,0.0984,-0.5582,-0.0665,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.6768,-19.8779,-0.1000,-0.1300
-20.2639,35.4036,-6.4469,-0.0829,0.0000,0.0000,-0.1800,-0.9600,0.0000,0.2349,-0.3069,-0.0065,996,1500,1497,1497,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0432,-0.0667,0.0765,-0.0188,0.0008,1.0078,0.5353,0.0785,-0.5482,-0.0656,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.6399,-19.8567,0.0000,-0.0300
-20.2375,35.3703,-6.4303,-0.0000,-0.0821,0.1200,0.0000,0.0000,0.0000,0.2358,-0.3050,-0.0036,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0987,-0.1325,0.0991,-0.0200,-0.0006,1.0002,0.5371,0.0728,-0.5443,-0.0656,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.6028,-19.8359,0.0200,0.0000
-20.2108,35.3372,-6.4135,-0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.2355,-0.3047,-0.0035,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0497,-0.1189,0.0587,-0.0241,0.0031,1.0019,0.5366,0.0728,-0.5437,-0.0657,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.5657,-19.8152,0.0200,0.0000
-20.1845,35.3036,-6.3969,-0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.2353,-0.3044,-0.0036,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0934,-0.1569,0.1046,-0.0233,-0.0041,1.0026,0.5360,0.0727,-0.5433,-0.0654,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.5287,-19.7945,0.0200,0.0000
-20.1577,35.2699,-6.3796,-0.0829,0.0821,0.1800,0.0000,0.0000,0.0000,0.2355,-0.3041,-0.0046,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0007,-0.0961,0.1009,-0.0219,-0.0021,1.0053,0.5350,0.0733,-0.5442,-0.0641,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.4912,-19.7739,0.0300,0.0000
-20.1312,35.2368,-6.3631,-0.0000,-0.0821,0.1200,0.0000,0.0000,0.0000,0.2348,-0.3040,-0.0036,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1005,1000,1014,-0.0348,-0.0237,0.0925,-0.0177,-0.0027,1.0135,0.5351,0.0728,-0.5423,-0.0656,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.2635,-3.5000,-0.0010,-2.2635,-3.5000,-0.0010,35.4534,-19.7543,0.0200,0.0000
