roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,-28.3425,13.8304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0100,0.0700,0.3000,0.0100,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
27.3353,13.4571,3.2383,-0.1657,0.0821,0.0000,-8.0400,-42.8800,0.0000,-0.1864,-0.0653,-0.1289,910,1369,1366,1366,2008,1000,1505,1505,1505,1006,2008,1000,1014,0.1073,0.0272,0.0378,-0.0320,0.0643,0.9364,-0.2500,0.3806,-0.0079,-0.1227,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.1590,29.8144,-1.3100,-1.3400
27.2962,13.4395,3.2290,-0.0829,0.0000,0.0000,-8.0400,-42.8800,0.0000,-0.1862,-0.0652,-0.1292,973,1464,1461,1461,2008,1000,1505,1505,1505,1006,2008,1000,1014,0.0258,-0.0355,0.0092,-0.0344,0.0702,0.9893,-0.2502,0.3805,-0.0082,-0.1222,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.1920,29.8574,-1.3100,-1.3400
27.2570,13.4217,3.2200,-0.0829,0.1642,0.0000,-0.7800,-3.2000,0.0000,-0.1861,-0.0431,-0.0102,991,1490,1487,1490,2008,1000,1505,1505,1505,1006,2008,1000,1013,0.0692,-0.0086,0.0113,-0.0346,0.0714,0.9916,-0.1532,0.2394,0.1328,-0.2190,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.2262,29.9003,-0.1000,-0.1300
27.2180,13.4041,3.2116,-0.0000,0.0000,0.0000,-0.1800,-0.9600,0.0000,-0.1860,-0.0413,-0.0037,996,1500,1497,1497,2008,1000,1505,1505,1505,1006,2008,1000,1013,0.0887,0.0284,0.0934,-0.0354,0.0731,0.9872,-0.1484,0.2310,0.1410,-0.2235,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.2605,29.9433,0.0000,-0.0300
27.1789,13.3863,3.2025,-0.0000,0.0821,0.0000,0.0000,0.0000,0.0000,-0.1858,-0.0406,-0.0007,996,1502,1500,1500,2008,1000,1505,1505,1505,1006,2008,1000,1013,0.0329,-0.0457,0.0266,-0.0346,0.0678,0.9901,-0.1459,0.2271,0.1446,-0.2258,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.2949,29.9862,0.0200,0.0000
27.1393,13.3683,3.1933,-0.0829,0.1642,0.0000,0.0000,0.6400,0.0000,-0.1857,-0.0406,0.0013,996,1502,1500,1502,2008,1000,1505,1505,1505,1006,2008,1000,1013,0.0115,-0.0074,0.0324,-0.0308,0.0707,0.9887,-0.1439,0.2250,0.1464,-0.2276,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.3293,30.0290,0.0200,0.0000
27.1001,13.3500,3.1843,-0.0829,0.0821,0.0000,0.0000,0.6400,0.0000,-0.1856,-0.0405,0.0014,996,1502,1500,1502,2008,1000,1505,1505,1505,1006,2008,1000,1013,0.0222,-0.0813,-0.0099,-0.0335,0.0709,0.9929,-0.1437,0.2246,0.1466,-0.2275,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.3636,30.0719,0.0200,0.0000
27.0604,13.3325,3.1741,-0.0000,0.0000,0.0000,0.0000,0.6400,0.0000,-0.1855,-0.0405,0.0015,998,1504,1501,1502,2008,1000,1505,1505,1505,1006,2008,1000,1014,0.0412,0.0074,-0.0603,-0.0337,0.0699,0.9956,-0.1435,0.2244,0.1465,-0.2275,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.3980,30.1148,0.0200,0.0000
27.0213,13.3152,3.1655,-0.1657,0.1642,0.0000,0.0000,0.6400,0.0000,-0.1854,-0.0405,0.0013,996,1502,1500,1502,2008,1000,1505,1505,1505,1006,2008,1000,1014,0.0811,0.1129,0.0311,-0.0342,0.0708,0.9929,-0.1436,0.2246,0.1462,-0.2272,0.3036,0.4132,0.0700,0.3036,0.4132,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,7.4323,30.1576,0.0200,0.0000
