roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,-24.0331,18.5089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0100,0.0700,0.3000,0.0100,0.0700,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
-29.4725,24.0890,-6.3246,-0.1657,0.0000,0.0000,-8.0400,-42.8800,0.0000,0.2818,-0.1681,-0.1292,910,1369,1366,1366,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.8088,-0.0245,0.1033,-0.0296,-0.0350,0.9332,0.3207,0.0155,-0.5791,0.2430,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.3662,37.1086,-1.3100,-1.3400
-29.4259,24.0659,-6.3085,-0.1657,0.0821,0.0000,-2.3400,-12.4800,0.0000,0.2812,-0.1381,-0.0385,971,1461,1461,1461,2008,1000,1505,1505,1505,1372,2008,1112,1014,1.1107,-0.0404,0.1979,-0.0260,-0.0348,0.9974,0.3809,-0.1046,-0.4579,0.1816,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.3965,37.1499,-0.3900,-0.3900
-29.3779,24.0434,-6.2919,-0.1657,0.0000,0.0000,-0.7800,-4.1600,0.0000,0.2810,-0.1299,-0.0136,991,1490,1487,1487,2008,1000,1505,1505,1505,1372,2008,1112,1014,1.1383,-0.0132,0.2009,-0.0280,-0.0339,1.0006,0.3972,-0.1375,-0.4244,0.1647,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.4309,37.1911,-0.1000,-0.1300
-29.3303,24.0204,-6.2758,-0.1657,0.0000,0.0000,-0.1800,-0.9600,0.0000,0.2808,-0.1266,-0.0038,996,1500,1497,1497,2008,1000,1505,1505,1505,1372,2008,1112,1014,1.0890,-0.0585,0.1177,-0.0305,-0.0331,0.9948,0.4035,-0.1504,-0.4111,0.1580,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.4666,37.2323,0.0000,-0.0300
-29.2836,23.9968,-6.2607,-0.1657,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,-0.1255,-0.0005,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,1.0256,-0.0336,-0.0242,-0.0318,-0.0365,0.9988,0.4056,-0.1546,-0.4066,0.1555,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.5028,37.2734,0.0200,0.0000
-29.2379,23.9727,-6.2469,-0.0829,0.0000,0.0000,0.0000,0.0000,0.0000,0.2804,-0.1255,-0.0003,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.9700,0.0258,-0.0983,-0.0309,-0.0345,0.9990,0.4056,-0.1547,-0.4061,0.1552,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.5392,37.3146,0.0200,0.0000
-29.1931,23.9483,-6.2336,-0.0829,0.0000,0.0000,0.0000,0.0000,0.0000,0.2802,-0.1253,-0.0011,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.9278,-0.0268,-0.1548,-0.0294,-0.0392,0.9922,0.4044,-0.1539,-0.4066,0.1560,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.5756,37.3557,0.0300,0.0000
-29.1485,23.9234,-6.2206,-0.0829,0.0000,0.0000,0.0000,0.0000,0.0000,0.2800,-0.1251,-0.0001,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.9587,-0.0202,-0.1601,-0.0274,-0.0373,0.9970,0.4050,-0.1547,-0.4052,0.1549,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.6121,37.3968,0.0200,0.0000
-29.1037,23.8988,-6.2068,-0.2486,0.0000,0.0000,0.0000,0.0000,0.0000,0.2798,-0.1250,-0.0004,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.9121,-0.0617,-0.0517,-0.0281,-0.0369,0.9955,0.4043,-0.1544,-0.4052,0.1552,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.6486,37.4379,0.0200,0.0000
-29.0592,23.8745,-6.1927,-0.0829,-0.0821,0.0000,0.0000,0.0000,0.0000,0.2796,-0.1249,-0.0006,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.8737,-0.0359,-0.0153,-0.0239,-0.0332,0.9962,0.4039,-0.1542,-0.4050,0.1553,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.6851,37.4790,0.0200,0.0000
-29.0145,23.8502,-6.1783,-0.1657,0.0000,0.0000,0.0000,0.0000,0.0000,0.2793,-0.1248,-0.0005,996,1502,1500,1500,2008,1000,1505,1505,1505,1372,2008,1112,1014,0.8962,-0.0243,-0.0091,-0.0274,-0.0367,0.9986,0.4035,-0.1540,-0.4046,0.1551,0.5232,0.5140,0.1092,0.5232,0.5140,0.1092,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,8.7216,37.5201,0.0200,0.0000
