roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,1.0773,5.5404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
-7.0112,49.7195,-2.9896,0.3315,0.4104,-8.1000,-8.1000,-43.2000,0.0000,0.0406,-0.2549,-0.1302,973,1463,1460,1460,2008,1000,1505,1000,1000,1505,1502,1500,1505,-0.4379,0.0886,0.0966,-0.0172,-0.0038,0.4544,0.1653,0.3446,-0.4257,-0.0841,0.4408,0.1800,0.0876,0.4408,0.1800,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.2767,48.4394,-1.3500,-1.3500
-6.9856,49.2929,-2.8800,0.3315,0.4925,-0.4800,-0.7800,-4.1600,0.0000,0.0761,-0.2218,-0.0152,991,1492,1487,1487,2008,1000,1505,1000,1000,1505,1502,1500,1505,-2.4871,-0.0355,0.5177,-0.0318,-0.0129,0.9830,0.2827,0.1609,-0.3132,-0.1304,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.5984,48.9216,-0.0800,-0.1300
-6.9982,49.2578,-2.8660,0.4144,0.4925,0.0000,-0.1800,-0.9600,0.0000,0.0783,-0.2190,-0.0052,996,1500,1497,1497,2008,1000,1505,1000,1000,1505,1502,1500,1505,-2.4623,-0.0600,0.3873,-0.0330,-0.0170,0.9992,0.2920,0.1459,-0.3025,-0.1354,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.6387,48.9597,0.0000,-0.0300
-7.0109,49.2228,-2.8544,0.2486,0.4104,0.1200,0.0000,0.0000,0.0000,0.0787,-0.2180,-0.0021,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1502,1500,1505,-2.2369,-0.0120,0.3141,-0.0312,-0.0146,0.9995,0.2946,0.1415,-0.2989,-0.1372,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.6796,48.9978,0.0200,0.0000
-7.0218,49.1883,-2.8437,0.3315,0.5746,0.1200,0.0000,0.0000,0.0000,0.0786,-0.2180,-0.0019,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1502,1500,1505,-2.0237,0.0823,0.2382,-0.0329,-0.0166,1.0090,0.2947,0.1413,-0.2984,-0.1375,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.7207,49.0359,0.0200,0.0000
-7.0310,49.1540,-2.8337,0.1657,0.4104,0.1200,0.0000,0.0000,0.0000,0.0785,-0.2178,-0.0019,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1502,1500,1505,-1.9069,0.0222,0.2137,-0.0335,-0.0142,1.0095,0.2944,0.1411,-0.2981,-0.1374,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.7617,49.0739,0.0200,0.0000
-7.0405,49.1188,-2.8242,0.3315,0.4925,0.1200,0.0000,0.0000,0.0000,0.0786,-0.2175,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1502,1500,1505,-1.9634,-0.1455,0.2206,-0.0356,-0.0139,1.0051,0.2942,0.1407,-0.2979,-0.1370,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.8028,49.1120,0.0200,0.0000
-7.0496,49.0822,-2.8139,0.3315,0.5746,0.1800,0.0000,0.0000,0.0000,0.0789,-0.2172,-0.0030,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1502,1500,1505,-1.9374,-0.2596,0.2633,-0.0348,-0.0110,1.0061,0.2931,0.1413,-0.2991,-0.1353,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.8439,49.1501,0.0300,0.0000
-7.0579,49.0438,-2.8023,0.4144,0.5746,0.1200,0.0000,0.0000,0.0000,0.0787,-0.2168,-0.0022,996,1502,1500,1500,2008,1000,1505,1000,1000,1505,1502,1500,1505,-1.9636,-0.4930,0.3222,-0.0361,-0.0133,1.0050,0.2933,0.1404,-0.2977,-0.1360,0.4430,0.1806,0.0876,0.4430,0.1806,0.0876,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,14.8850,49.1881,0.0200,0.0000
