roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,1.4088,5.8687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
-8.4937,48.9914,-3.6228,-0.0000,0.0821,-7.8600,-8.0400,-42.8800,0.0000,0.0655,-0.4920,-0.2576,910,1369,1366,1366,1000,1000,1505,1000,1000,1616,1005,1000,1014,-0.0005,-0.0083,0.0441,-0.0071,-0.0009,0.3670,0.2999,0.6841,-0.8151,-0.1689,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.5632,-3.5000,-0.0010,-2.5632,-3.5000,-0.0010,49.0653,-8.9054,-1.3100,-1.3400
-8.3565,48.5570,-3.5133,-0.0829,0.0000,-2.3400,-2.3400,-12.4800,0.0000,0.1119,-0.4391,-0.0412,971,1461,1461,1461,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.0339,-0.0146,0.1364,-0.0208,-0.0020,0.9793,0.5099,0.3683,-0.5922,-0.2860,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.6261,-8.8326,-0.3900,-0.3900
-8.3459,48.5213,-3.5041,-0.0829,0.0000,-0.6000,-0.7800,-4.1600,0.0000,0.1270,-0.4252,-0.0162,991,1490,1487,1487,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.1197,-0.0979,0.1035,-0.0183,-0.0043,1.0061,0.5360,0.3144,-0.5683,-0.2821,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.5916,-8.8254,-0.1000,-0.1300
-8.3355,48.4861,-3.4949,-0.0829,0.0821,0.0000,-0.1800,-1.6000,0.0000,0.1320,-0.4198,-0.0087,996,1500,1497,1495,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.0590,-0.0350,0.1686,-0.0223,-0.0033,1.0069,0.5431,0.2965,-0.5605,-0.2791,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.5574,-8.8180,0.0000,-0.0300
-8.3244,48.4505,-3.4850,-0.0000,0.0821,0.1800,0.0000,0.0000,0.0000,0.1335,-0.4179,-0.0038,996,1502,1500,1500,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.0805,-0.0581,0.1171,-0.0179,-0.0039,1.0097,0.5476,0.2882,-0.5551,-0.2807,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.5234,-8.8106,0.0300,0.0000
-8.3136,48.4148,-3.4752,-0.0000,0.1642,0.1200,0.0000,0.0000,0.0000,0.1329,-0.4176,-0.0037,996,1502,1500,1500,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.0900,-0.0240,0.1096,-0.0219,-0.0009,1.0066,0.5468,0.2885,-0.5542,-0.2811,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.4896,-8.8034,0.0200,0.0000
-8.3029,48.3796,-3.4655,-0.0000,0.0821,0.1200,0.0000,0.0000,0.0000,0.1328,-0.4173,-0.0037,996,1502,1500,1500,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.1158,-0.0817,0.1111,-0.0221,0.0011,1.0102,0.5463,0.2882,-0.5538,-0.2807,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.4550,-8.7960,0.0200,0.0000
-8.2921,48.3441,-3.4559,-0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.1327,-0.4170,-0.0037,996,1502,1500,1500,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.1259,-0.0489,0.1168,-0.0249,-0.0017,1.0055,0.5460,0.2880,-0.5535,-0.2805,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.4205,-8.7884,0.0200,0.0000
-8.2816,48.3086,-3.4466,-0.0829,0.0000,0.1200,0.0000,0.0000,0.0000,0.1326,-0.4167,-0.0037,996,1502,1500,1500,1000,1000,1505,1000,1000,1586,1005,1000,1014,-0.0626,-0.0496,0.1189,-0.0238,-0.0024,1.0093,0.5455,0.2879,-0.5530,-0.2804,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-2.4822,-3.5000,-0.0010,-2.4822,-3.5000,-0.0010,48.3862,-8.7811,0.0200,0.0000
