roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,1.2431,5.5404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
-24.6799,44.3500,-10.0345,0.0829,0.0821,-7.8600,-8.0400,-43.2000,0.0000,0.0446,-0.1154,-0.1298,973,1464,1461,1460,1000,1000,1505,1000,1000,1505,1502,1500,1505,-0.1736,-0.0516,0.0432,-0.0152,-0.0066,0.4533,0.0302,0.2006,-0.2899,0.0590,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.2748,48.4357,-1.3100,-1.3400
-24.3634,43.9754,-9.7865,-0.0000,0.0821,-2.3400,-2.3400,-12.8000,0.0000,0.0563,-0.1020,-0.0399,971,1461,1461,1460,1000,1000,1505,1000,1000,1505,1502,1500,1505,-0.5388,-0.0962,0.1275,-0.0309,-0.0132,0.9841,0.1184,0.0856,-0.1982,-0.0059,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.5966,48.9180,-0.3900,-0.3900
-24.3403,43.9452,-9.7652,0.0829,0.1642,-0.6000,-0.7800,-4.1600,0.0000,0.0600,-0.0985,-0.0141,991,1490,1487,1487,1000,1000,1505,1000,1000,1505,1502,1500,1505,-0.5083,-0.1654,0.1420,-0.0347,-0.0113,1.0006,0.1444,0.0526,-0.1726,-0.0244,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.6368,48.9562,-0.1000,-0.1300
-24.3142,43.9145,-9.7428,0.0829,0.0821,0.0000,-0.1800,-0.9600,0.0000,0.0612,-0.0971,-0.0048,996,1500,1497,1497,1000,1000,1505,1000,1000,1505,1502,1500,1505,-0.2386,-0.1528,0.2389,-0.0335,-0.0154,1.0062,0.1535,0.0407,-0.1631,-0.0312,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.6778,48.9942,0.0000,-0.0300
-24.2865,43.8843,-9.7210,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.0613,-0.0967,-0.0015,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1502,1500,1505,-0.0296,-0.0862,0.1081,-0.0329,-0.0154,1.0016,0.1565,0.0369,-0.1595,-0.0339,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.7188,49.0323,0.0200,0.0000
-24.2577,43.8542,-9.7003,-0.0829,-0.0821,0.1200,0.0000,0.0000,0.0000,0.0612,-0.0966,-0.0017,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1502,1500,1505,0.1211,-0.0324,0.1347,-0.0322,-0.0145,1.0023,0.1561,0.0371,-0.1595,-0.0338,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.7599,49.0704,0.0200,0.0000
-24.2274,43.8244,-9.6798,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.0610,-0.0966,-0.0014,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1502,1500,1505,0.2841,-0.0435,0.0755,-0.0324,-0.0168,1.0037,0.1562,0.0369,-0.1590,-0.0341,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.8010,49.1085,0.0200,0.0000
-24.1960,43.7946,-9.6608,-0.0829,0.0000,0.2400,0.0600,0.3200,0.0000,0.0611,-0.0964,0.0007,997,1503,1500,1500,1000,1000,1505,1000,1000,1505,1502,1500,1505,0.5149,0.0527,-0.0060,-0.0314,-0.0119,1.0068,0.1583,0.0346,-0.1568,-0.0360,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.8420,49.1465,0.0400,0.0100
-24.1638,43.7649,-9.6428,-0.0000,0.0821,0.1200,0.0000,0.0000,0.0000,0.0608,-0.0964,-0.0011,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1502,1500,1505,0.5744,-0.0303,-0.0385,-0.0331,-0.0115,0.9989,0.1561,0.0368,-0.1583,-0.0346,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.8831,49.1846,0.0200,0.0000
-24.1308,43.7345,-9.6243,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.0607,-0.0964,-0.0012,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1502,1500,1505,0.4907,-0.0443,-0.0318,-0.0326,-0.0108,1.0029,0.1559,0.0368,-0.1583,-0.0345,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-351.4000,-0.0060,-2.2635,-351.4000,-0.0060,14.9243,49.2226,0.0200,0.0000
