roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,9.0171,-2.2971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1479,1499,1504,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-5.6008,-30.1539,1.6654,-0.1371,-0.1371,-1.3800,-0.1800,0.6400,0.0000,0.0113,0.0661,0.0069,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0742,-0.0387,0.0512,0.0238,-0.0027,0.9594,-0.0478,-0.0843,0.0617,0.0705,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5913,-30.1132,1.6608,0.0000,0.0686,-1.3800,-0.1800,0.6400,0.0000,0.0113,0.0660,0.0071,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0562,0.0493,0.0039,0.0239,-0.0026,0.9919,-0.0475,-0.0844,0.0618,0.0701,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5804,-30.0723,1.6558,-0.0686,-0.0686,-1.3800,-0.1800,0.6400,0.0000,0.0113,0.0659,0.0072,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.1192,-0.0847,-0.0352,0.0238,-0.0030,0.9980,-0.0474,-0.0844,0.0619,0.0699,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5698,-30.0316,1.6504,0.0686,0.0686,-1.3800,-0.1800,0.6400,0.0000,0.0113,0.0658,0.0072,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0398,0.0338,-0.0462,0.0244,-0.0013,0.9973,-0.0473,-0.0843,0.0617,0.0698,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5594,-29.9900,1.6448,-0.2743,-0.1371,-1.3800,-0.1800,0.6400,0.0000,0.0113,0.0657,0.0074,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0007,0.0182,-0.0935,0.0209,-0.0015,0.9991,-0.0470,-0.0844,0.0619,0.0695,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5494,-29.9485,1.6390,0.0000,-0.0000,-1.3800,-0.1800,0.6400,0.0000,0.0112,0.0656,0.0073,998,1479,1499,1504,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0217,-0.0086,-0.0628,0.0232,-0.0037,1.0020,-0.0471,-0.0841,0.0617,0.0696,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5394,-29.9077,1.6334,0.0000,-0.0686,-1.3800,-0.1800,0.6400,0.0000,0.0112,0.0656,0.0064,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,0.0167,-0.1006,-0.0798,0.0230,-0.0031,0.9988,-0.0480,-0.0832,0.0607,0.0704,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5295,-29.8673,1.6281,0.0000,0.0686,-1.3800,-0.1800,0.6400,0.0000,0.0112,0.0654,0.0071,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,-0.0104,-0.0051,-0.0060,0.0225,-0.0013,0.9955,-0.0472,-0.0837,0.0613,0.0696,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
-5.5201,-29.8265,1.6230,0.0000,-0.0000,-1.3800,-0.1800,0.6400,0.0000,0.0112,0.0654,0.0073,996,1477,1497,1502,1000,1000,1505,1000,1000,1505,1205,1498,1139,-0.0269,-0.0600,-0.0673,0.0242,-0.0041,0.9950,-0.0469,-0.0839,0.0615,0.0693,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.2635,-143.5000,-0.0060,-2.2635,-143.5000,-0.0060
