roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,8.7429,-2.2971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1498,1502,1504,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-137.6017,-58.2700,110.3853,0.0000,0.0686,-0.1800,0.1200,0.6400,0.0000,0.3049,0.1287,0.0169,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,-0.0011,-0.0294,-0.0124,0.0184,-0.0063,0.9632,0.1931,-0.4505,-0.1593,0.4167,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.5815,-58.2797,110.3686,0.0000,0.0686,-0.1800,0.1200,0.6400,0.0000,0.3049,0.1287,0.0168,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0523,-0.0467,0.0402,0.0140,-0.0056,1.0013,0.1929,-0.4504,-0.1593,0.4168,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.5602,-58.2900,110.3505,0.0000,0.1371,-0.1800,0.1200,0.6400,0.0000,0.3048,0.1288,0.0171,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0134,-0.0698,-0.0376,0.0142,-0.0072,0.9996,0.1931,-0.4507,-0.1590,0.4165,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.5390,-58.3003,110.3327,0.0000,0.0686,-0.1800,0.1200,0.6400,0.0000,0.3048,0.1288,0.0169,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0458,-0.0478,-0.0073,0.0161,-0.0046,0.9991,0.1929,-0.4504,-0.1591,0.4167,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.5183,-58.3108,110.3157,0.0000,0.0686,-0.1800,0.1200,0.6400,0.0000,0.3047,0.1288,0.0170,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0219,-0.0306,-0.0348,0.0168,-0.0050,1.0029,0.1929,-0.4505,-0.1590,0.4166,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.4973,-58.3213,110.2983,0.0000,0.0686,-0.1800,0.1200,0.6400,0.0000,0.3047,0.1288,0.0171,998,1498,1502,1504,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0223,-0.0256,-0.0631,0.0170,-0.0082,1.0038,0.1930,-0.4506,-0.1588,0.4164,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.4756,-58.3317,110.2800,0.0000,0.0686,-0.1800,0.1200,0.6400,0.0000,0.3046,0.1288,0.0160,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0308,0.0050,0.0031,0.0145,-0.0044,1.0018,0.1918,-0.4494,-0.1598,0.4175,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.4537,-58.3425,110.2618,-0.0686,-0.0686,-0.1800,0.1200,0.6400,0.0000,0.3046,0.1289,0.0172,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0426,-0.0044,-0.0842,0.0164,-0.0057,1.0045,0.1929,-0.4507,-0.1585,0.4162,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
-137.4320,-58.3529,110.2435,0.0000,0.1371,-0.1800,0.1200,0.6400,0.0000,0.3046,0.1289,0.0170,996,1497,1502,1502,1000,1000,1505,1000,1000,1008,1005,1000,1011,0.0061,0.0091,-0.0335,0.0164,-0.0054,1.0024,0.1927,-0.4505,-0.1586,0.4164,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1120,-3.5000,0.0000,-2.1120,-3.5000,0.0000
