roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,8.6057,-2.0914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1499,1501,1504,1000,1000,1505,1000,1000,1979,1205,2008,1103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
3.6300,17.2001,0.4914,0.0000,0.1371,-0.1800,0.0000,0.6400,0.0000,-0.0096,-0.0379,0.0043,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,0.0774,-0.0164,-0.0819,-0.0021,-0.0032,0.9562,0.0325,0.0433,-0.0240,-0.0518,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.6201,17.1547,0.4876,0.0000,-0.0000,-0.1800,0.0000,0.6400,0.0000,-0.0096,-0.0378,0.0050,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,0.1208,-0.1053,-0.0221,0.0022,-0.0041,1.0011,0.0332,0.0424,-0.0231,-0.0524,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.6102,17.1087,0.4838,0.0000,0.1371,-0.1800,0.0000,0.6400,0.0000,-0.0096,-0.0377,0.0051,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,0.0640,-0.1106,-0.0635,0.0007,-0.0027,0.9989,0.0332,0.0421,-0.0230,-0.0524,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.6003,17.0636,0.4801,0.0000,-0.0000,-0.1800,0.0000,0.6400,0.0000,-0.0096,-0.0376,0.0053,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,0.0622,-0.0635,-0.1007,0.0018,-0.0019,1.0024,0.0333,0.0418,-0.0227,-0.0524,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.5894,17.0177,0.4761,0.0000,-0.0686,-0.1800,0.0000,0.6400,0.0000,-0.0095,-0.0375,0.0051,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,-0.0295,-0.0508,-0.0272,-0.0011,-0.0029,1.0011,0.0330,0.0419,-0.0229,-0.0520,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.5783,16.9726,0.4729,0.0000,0.0686,-0.1800,0.0000,0.6400,0.0000,-0.0095,-0.0374,0.0048,998,1499,1501,1504,1000,1000,1505,1000,1000,1979,1205,2008,1103,-0.0529,0.0051,0.0677,-0.0017,-0.0042,1.0020,0.0327,0.0421,-0.0232,-0.0516,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.5667,16.9271,0.4701,0.0000,0.0686,-0.1800,0.0000,0.6400,0.0000,-0.0094,-0.0373,0.0039,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,-0.0976,-0.0954,0.0350,0.0005,-0.0026,1.0019,0.0317,0.0428,-0.0239,-0.0506,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.5554,16.8810,0.4678,0.0000,0.2057,-0.1800,0.0000,0.6400,0.0000,-0.0094,-0.0372,0.0048,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,-0.1176,-0.0464,0.0577,-0.0004,-0.0020,0.9991,0.0326,0.0417,-0.0230,-0.0514,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
3.5437,16.8358,0.4654,0.0000,-0.0686,-0.1800,0.0000,0.6400,0.0000,-0.0094,-0.0371,0.0047,996,1497,1500,1502,1000,1000,1505,1000,1000,1979,1205,2008,1103,-0.1078,-0.0680,0.0810,0.0001,-0.0054,1.0001,0.0324,0.0418,-0.0230,-0.0511,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-3.5685,-143.5000,-0.0071,-3.5685,-143.5000,-0.0071
