roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,11.6914,-1.5429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1499,1501,1504,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-2.1597,-74.2012,-2.0508,-2.6057,-0.8229,-0.1800,0.0000,0.6400,0.0000,0.0064,0.1635,0.0206,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0059,0.1318,-1.5201,0.0051,0.0012,0.9621,-0.1365,-0.1905,0.1777,0.1493,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.1013,-74.1749,-2.1117,-2.6057,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0063,0.1634,0.0213,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0009,0.1071,-1.4681,0.0074,0.0003,1.0004,-0.1359,-0.1910,0.1784,0.1484,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.0502,-74.1491,-2.1640,-2.6057,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0061,0.1634,0.0201,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0696,-0.0184,-1.0677,0.0059,0.0022,1.0012,-0.1372,-0.1896,0.1773,0.1495,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.0147,-74.1234,-2.2003,-2.6743,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0061,0.1634,0.0191,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0153,-0.0681,-0.7329,0.0050,0.0037,1.0015,-0.1382,-0.1886,0.1764,0.1504,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-1.9949,-74.0981,-2.2204,-2.6743,-0.9600,-0.1800,0.0000,0.6400,0.0000,0.0060,0.1634,0.0176,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0069,-0.1147,-0.2334,0.0081,0.0022,1.0060,-0.1397,-0.1870,0.1749,0.1518,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-1.9937,-74.0728,-2.2213,-2.6057,-0.6857,-0.1800,0.0000,0.6400,0.0000,0.0060,0.1633,0.0158,998,1499,1501,1504,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0395,-0.1666,0.3360,0.0039,0.0031,1.0009,-0.1415,-0.1852,0.1731,0.1535,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.0124,-74.0479,-2.2015,-2.8114,-0.8914,-0.1800,0.0000,0.6400,0.0000,0.0061,0.1633,0.0136,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0740,-0.1188,0.7837,0.0006,0.0008,1.0003,-0.1436,-0.1830,0.1707,0.1558,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.0483,-74.0228,-2.1643,-2.6057,-0.6857,-0.1800,0.0000,0.6400,0.0000,0.0062,0.1633,0.0132,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0013,-0.2472,1.2436,0.0062,-0.0001,1.0002,-0.1439,-0.1826,0.1702,0.1563,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.0981,-73.9981,-2.1125,-2.6743,-0.6857,-0.1800,0.0000,0.6400,0.0000,0.0063,0.1632,0.0122,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0384,-0.1897,1.5767,0.0053,0.0028,1.0044,-0.1447,-0.1816,0.1690,0.1573,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.1547,-73.9732,-2.0538,-2.6743,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0064,0.1631,0.0118,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0851,-0.2538,1.7010,0.0046,0.0015,1.0048,-0.1449,-0.1814,0.1685,0.1578,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.2151,-73.9486,-1.9917,-2.6743,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0066,0.1631,0.0118,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.1440,-0.2682,1.7285,0.0048,0.0008,1.0022,-0.1447,-0.1815,0.1683,0.1579,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.2723,-73.9225,-1.9328,-2.7429,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0067,0.1630,0.0121,998,1499,1501,1504,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0653,-0.1040,1.5954,0.0061,0.0006,1.0034,-0.1442,-0.1818,0.1684,0.1575,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3206,-73.8968,-1.8824,-2.6057,-0.6857,-0.1800,0.0000,0.6400,0.0000,0.0068,0.1629,0.0123,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0417,-0.1689,1.2336,0.0055,0.0029,1.0025,-0.1439,-0.1820,0.1685,0.1574,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3572,-73.8713,-1.8445,-2.6057,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0069,0.1629,0.0142,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.1003,-0.1790,0.9317,0.0026,0.0030,0.9992,-0.1418,-0.1839,0.1701,0.1556,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3817,-73.8459,-1.8196,-2.6743,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0069,0.1628,0.0154,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0488,-0.0928,0.5268,0.0057,-0.0017,1.0058,-0.1405,-0.1851,0.1713,0.1543,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3892,-73.8200,-1.8122,-2.6743,-0.6857,-0.1800,0.0000,0.6400,0.0000,0.0070,0.1627,0.0167,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0912,-0.0469,0.0833,0.0066,0.0023,1.0026,-0.1390,-0.1864,0.1725,0.1529,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3827,-73.7940,-1.8199,-2.6743,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0069,0.1627,0.0179,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0939,-0.0517,-0.3045,0.0045,0.0022,0.9998,-0.1378,-0.1875,0.1736,0.1517,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3600,-73.7681,-1.8440,-2.6057,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0069,0.1626,0.0194,998,1499,1501,1504,1000,1000,1505,1000,1000,1010,1005,1000,1013,-0.0102,-0.0466,-0.8020,0.0025,0.0016,1.0011,-0.1364,-0.1888,0.1751,0.1501,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
-2.3192,-73.7420,-1.8861,-2.6743,-0.7543,-0.1800,0.0000,0.6400,0.0000,0.0068,0.1625,0.0196,996,1497,1500,1502,1000,1000,1505,1000,1000,1010,1005,1000,1013,0.0057,0.0178,-1.2011,0.0027,0.0047,0.9991,-0.1362,-0.1888,0.1753,0.1497,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-2.1150,-3.5000,0.0000,-2.1150,-3.5000,0.0000
