roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
0.0000,0.0000,0.0000,-27.0166,27.1272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9016,0.0202,0.1349,0.9016,0.0202,0.1349,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4716,50.2238,2.1340,-0.0000,-0.0000,-8.1000,-6.5400,-41.9200,0.0000,-0.2177,-0.8435,-0.1257,910,1365,1391,1369,2008,1000,1505,1000,1000,1324,1503,1007,1379,0.3051,0.0638,-0.0759,-0.0238,0.0009,0.8642,0.5001,1.1869,-0.7515,-0.9355,1.4858,0.1218,0.1368,1.4858,0.1218,0.1368,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,11.5072,49.1498,-1.3500,-1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4673,50.1890,2.1275,-0.0829,-0.0000,-6.2400,-6.0600,-38.4000,0.1020,-0.1899,-0.8367,-0.1155,1101,1396,1399,1380,2008,1000,1505,1000,1000,1324,1503,1007,1379,0.2789,0.0047,-0.2080,-0.0271,0.0034,0.9792,0.6332,1.2441,-0.6602,-0.8091,1.4858,0.1218,0.1368,1.4858,0.1218,0.1368,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,11.5356,49.1832,-1.0400,-1.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4630,50.1540,2.1213,-0.0000,-0.0000,-1.9800,-0.7800,-10.5600,0.0300,-0.1265,-0.7568,-0.0325,1030,1467,1487,1467,2008,1000,1505,1000,1000,1324,1503,1007,1379,0.2207,-0.0194,-0.0905,-0.0248,0.0033,0.9853,0.6278,0.9457,-0.6328,-0.8208,1.4858,0.1218,0.1368,1.4858,0.1218,0.1368,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,11.5657,49.2161,-0.3300,-0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4586,50.1188,2.1154,0.0829,-0.0000,-0.6000,0.9000,-2.5600,0.0060,-0.1059,-0.7313,-0.0085,1006,1490,1515,1492,2008,1000,1505,1000,1000,1324,1503,1007,1379,0.2447,0.0203,-0.1049,-0.0256,0.0040,0.9867,0.6229,0.8518,-0.6279,-0.8228,1.4858,0.1218,0.1368,1.4858,0.1218,0.1368,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,11.5959,49.2490,-0.1000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4546,50.0845,2.1094,-0.0000,-0.0821,-0.1800,1.3200,0.0000,0.0010,-0.0997,-0.7247,-0.0008,1001,1497,1522,1500,2008,1000,1505,1000,1000,1324,1503,1007,1379,0.2989,0.0729,-0.1166,-0.0235,0.0035,0.9858,0.6251,0.8262,-0.6248,-0.8225,1.4858,0.1218,0.1368,1.4858,0.1218,0.1368,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,11.6261,49.2819,-0.0300,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4523,50.0501,2.1044,-0.0829,-0.0000,-0.1800,1.5000,0.6400,0.0000,-0.0998,-0.7215,0.0009,1000,1497,1525,1502,2008,1000,1505,1000,1000,1324,1503,1007,1379,0.3920,0.0864,-0.0246,-0.0221,0.0087,0.9893,0.6225,0.8205,-0.6208,-0.8222,1.4858,0.1218,0.1368,1.4858,0.1218,0.1368,0.3000,0.0600,0.0002,0,-0.5000,-100.0000,-0.0500,-0.5000,-100.0000,-0.0500,11.6564,49.3147,-0.0300,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
