roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
0.0000,0.0000,0.0000,1.4917,4.8016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.3629,38.4932,12.9310,0.0829,-0.0000,-7.8600,-6.5400,-42.8800,0.0000,-0.4416,-0.3885,-0.1284,910,1369,1391,1366,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0871,0.0059,-0.0668,-0.0185,0.0125,0.8575,-0.1816,0.9586,-0.0753,-0.7017,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.2810,35.3632,-1.3100,-1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.3294,38.4711,12.9091,-0.0000,-0.0000,-7.8600,-6.5400,-42.8800,0.0000,-0.4413,-0.3883,-0.1288,910,1369,1391,1366,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0834,0.0007,-0.0328,-0.0191,0.0165,0.9917,-0.1819,0.9585,-0.0758,-0.7008,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.2454,35.3422,-1.3100,-1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.2961,38.4486,12.8876,0.0829,-0.0000,-2.3400,-0.7800,-12.4800,0.0000,-0.3935,-0.3384,-0.0379,991,1491,1516,1490,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.1756,-0.0167,-0.0009,-0.0201,0.0134,0.9980,-0.0930,0.7698,0.0173,-0.6941,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.2098,35.3216,-0.3900,-0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.2629,38.4263,12.8662,0.1657,-0.0000,0.0000,1.3200,-0.9600,0.0000,-0.3730,-0.3202,-0.0041,996,1500,1522,1497,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.1047,0.0553,-0.0516,-0.0219,0.0144,0.9985,-0.0569,0.6973,0.0487,-0.6890,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.1748,35.3013,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.2297,38.4039,12.8446,0.1657,-0.0000,0.1200,1.5000,0.0000,0.0000,-0.3716,-0.3183,-0.0003,996,1502,1525,1500,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0661,-0.0210,-0.0236,-0.0208,0.0136,0.9953,-0.0536,0.6903,0.0529,-0.6896,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.1403,35.2817,0.0200,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.1961,38.3814,12.8232,0.0829,-0.0000,0.1200,1.6200,0.6400,0.0000,-0.3713,-0.3171,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0554,-0.0260,0.0346,-0.0212,0.0133,1.0001,-0.0528,0.6871,0.0556,-0.6898,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.1050,35.2618,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.1620,38.3585,12.8015,0.0829,-0.0000,0.1200,1.6200,0.6400,0.0000,-0.3710,-0.3169,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0607,-0.0341,-0.0185,-0.0231,0.0132,1.0037,-0.0526,0.6864,0.0557,-0.6895,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.0691,35.2416,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.1283,38.3358,12.7797,0.0829,-0.0000,0.1200,1.6200,0.6400,0.0000,-0.3708,-0.3167,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0821,-0.0283,-0.0495,-0.0193,0.0136,0.9973,-0.0524,0.6858,0.0557,-0.6891,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,39.0331,35.2213,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.0945,38.3139,12.7580,0.0829,-0.0000,0.1200,1.6200,0.6400,0.0000,-0.3705,-0.3166,0.0017,998,1504,1528,1502,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0926,0.0399,-0.0862,-0.0201,0.0102,0.9995,-0.0521,0.6854,0.0556,-0.6888,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,38.9983,35.2008,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.0612,38.2917,12.7373,0.0829,-0.0000,0.1200,1.6200,0.6400,0.0000,-0.3701,-0.3164,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0247,0.0195,0.0458,-0.0198,0.0128,1.0022,-0.0523,0.6851,0.0551,-0.6879,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,38.9632,35.1802,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.0275,38.2693,12.7159,0.0829,-0.0000,0.1200,1.6200,0.6400,0.0000,-0.3698,-0.3161,0.0018,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1000,1014,0.0406,-0.0420,-0.0870,-0.0205,0.0155,0.9949,-0.0519,0.6842,0.0555,-0.6877,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9132,-255.4314,-0.4764,-4.9132,-255.4314,-0.4764,38.9282,35.1593,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
