roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
0.0000,0.0000,0.0000,1.5746,4.9658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35.3087,48.5799,16.4762,0.0829,-0.0000,-7.8600,-6.5400,-41.9200,0.0000,-0.4324,-0.4755,-0.1261,910,1369,1391,1369,2008,1000,1505,1000,1000,1006,1005,1000,1014,-0.0010,-0.0373,0.0419,-0.0166,0.0108,0.8791,-0.0830,1.0340,-0.1692,-0.7818,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2582,-272.2996,-0.5252,-5.2582,-272.2996,-0.5252,41.5605,43.7389,-1.3100,-1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35.2753,48.5558,16.4512,-0.0000,-0.1642,-7.8600,-6.5400,-41.9200,0.0000,-0.4322,-0.4753,-0.1262,910,1369,1391,1369,2008,1000,1505,1000,1000,1006,1005,1000,1014,0.0519,-0.0068,-0.0041,-0.0199,0.0115,0.9953,-0.0831,1.0337,-0.1693,-0.7813,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2582,-272.2996,-0.5252,-5.2582,-272.2996,-0.5252,41.5247,43.7181,-1.3100,-1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.8664,48.2600,16.1412,0.0829,-0.0821,-2.3400,-0.7800,-12.4800,0.0000,-0.3811,-0.4231,-0.0386,971,1461,1487,1461,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0796,0.0378,-0.0999,-0.0200,0.0119,1.0021,0.0034,0.8428,-0.0806,-0.7656,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,41.0817,43.4658,-0.3900,-0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.8329,48.2367,16.1156,0.0829,-0.0000,-0.6000,0.9000,-3.2000,0.0000,-0.3657,-0.4084,-0.0110,991,1490,1515,1490,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0138,0.0301,-0.0665,-0.0199,0.0109,1.0001,0.0318,0.7851,-0.0537,-0.7631,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,41.0462,43.4450,-0.1000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.7994,48.2133,16.0904,0.0829,-0.0821,0.0000,1.3200,0.0000,0.0000,-0.3603,-0.4046,-0.0013,996,1500,1522,1500,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0308,0.0713,-0.0534,-0.0192,0.0129,0.9979,0.0431,0.7662,-0.0457,-0.7636,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,41.0090,43.4246,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.7666,48.1898,16.0657,-0.0000,-0.0821,0.1200,1.5000,0.6400,0.0000,-0.3589,-0.4029,0.0003,996,1502,1525,1502,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0126,0.0659,0.0258,-0.0190,0.0143,1.0014,0.0443,0.7615,-0.0437,-0.7621,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.9730,43.4040,0.0200,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.7334,48.1660,16.0407,0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3586,-0.4015,0.0005,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0144,-0.0302,-0.0411,-0.0230,0.0124,1.0034,0.0434,0.7596,-0.0423,-0.7607,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.9372,43.3838,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.7001,48.1422,16.0159,0.0829,-0.1642,0.1200,1.6200,0.6400,0.0000,-0.3583,-0.4014,0.0005,998,1504,1528,1504,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0086,0.0658,-0.0283,-0.0218,0.0163,1.0009,0.0436,0.7592,-0.0426,-0.7603,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.9008,43.3631,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.6667,48.1184,15.9907,-0.0000,-0.1642,0.1200,1.6200,0.6400,0.0000,-0.3580,-0.4011,-0.0003,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0057,-0.0350,-0.0658,-0.0229,0.0152,1.0013,0.0427,0.7595,-0.0434,-0.7588,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.8649,43.3420,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.6336,48.0947,15.9655,-0.0000,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3578,-0.4010,0.0006,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0742,0.0344,-0.0489,-0.0213,0.0165,1.0036,0.0437,0.7583,-0.0426,-0.7594,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.8292,43.3213,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.6005,48.0710,15.9401,-0.0829,-0.1642,0.1200,1.6200,0.6400,0.0000,-0.3575,-0.4008,0.0004,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1014,0.0599,0.0155,-0.0148,-0.0165,0.0143,1.0000,0.0437,0.7579,-0.0428,-0.7587,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2582,-272.2996,-0.5252,-5.2582,-272.2996,-0.5252,40.7931,43.2997,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.5685,48.0466,15.9160,-0.0000,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3572,-0.4006,0.0003,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1014,0.0332,0.0278,0.0514,-0.0166,0.0153,1.0084,0.0436,0.7575,-0.0431,-0.7580,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2582,-272.2996,-0.5252,-5.2582,-272.2996,-0.5252,40.7571,43.2787,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.5356,48.0226,15.8913,-0.0829,-0.1642,0.1200,1.6200,0.6400,0.0000,-0.3569,-0.4003,0.0005,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0210,-0.0345,-0.0195,-0.0194,0.0110,1.0049,0.0438,0.7567,-0.0429,-0.7577,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.7215,43.2574,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.5028,47.9983,15.8667,0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3567,-0.4001,0.0002,998,1504,1528,1504,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0634,-0.0232,0.0549,-0.0209,0.0129,1.0021,0.0436,0.7566,-0.0432,-0.7570,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.6857,43.2366,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.4705,47.9738,15.8427,-0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3564,-0.3999,-0.0007,996,1502,1527,1502,2008,1000,1505,1000,1000,1006,1005,1000,1015,0.0110,0.0232,0.0529,-0.0224,0.0125,1.0025,0.0428,0.7570,-0.0443,-0.7556,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-5.2734,-273.0836,-0.5267,-5.2734,-273.0836,-0.5267,40.6497,43.2153,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
