roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
39.9877,34.6593,13.0942,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4041,-0.2849,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.1275,-0.0914,-0.0181,-0.0229,0.0144,0.9981,-0.1178,0.6876,0.1206,-0.6904,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,32.7193,41.3273,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.9533,34.6398,13.0736,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4038,-0.2848,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.1366,-0.0794,-0.0840,-0.0194,0.0168,0.9996,-0.1175,0.6870,0.1207,-0.6902,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.6870,41.3016,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.9187,34.6205,13.0525,0.0000,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.4035,-0.2846,0.0018,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.0815,-0.0603,-0.1430,-0.0216,0.0146,1.0006,-0.1170,0.6862,0.1207,-0.6899,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.6551,41.2760,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.8836,34.6009,13.0314,-0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.4032,-0.2844,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0970,-0.0630,-0.0096,-0.0207,0.0139,0.9995,-0.1173,0.6862,0.1201,-0.6890,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.6236,41.2507,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.8489,34.5808,13.0110,-0.0829,0.0000,0.1800,1.6200,0.6400,0.0000,-0.4023,-0.2843,0.0013,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0626,-0.0743,0.0282,-0.0183,0.0149,0.9958,-0.1168,0.6853,0.1193,-0.6879,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.5919,41.2257,0.0300,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.8142,34.5612,12.9906,-0.1657,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.4025,-0.2842,0.0017,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0487,0.0175,-0.0889,-0.0205,0.0162,0.9979,-0.1166,0.6850,0.1200,-0.6884,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.5607,41.2007,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.7794,34.5418,12.9700,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4023,-0.2840,0.0018,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1127,-0.0062,-0.1054,-0.0202,0.0157,0.9942,-0.1165,0.6845,0.1200,-0.6881,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.5296,41.1754,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.7446,34.5226,12.9490,-0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.4020,-0.2838,0.0013,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0915,-0.0304,-0.0019,-0.0200,0.0142,0.9994,-0.1168,0.6844,0.1195,-0.6871,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.4986,41.1501,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.7102,34.5024,12.9284,-0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.4017,-0.2836,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0812,-0.0834,0.0015,-0.0235,0.0141,0.9965,-0.1167,0.6838,0.1195,-0.6866,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.4671,41.1250,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.6753,34.4823,12.9077,-0.0829,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4014,-0.2834,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0922,-0.0606,-0.0412,-0.0200,0.0150,0.9981,-0.1164,0.6833,0.1195,-0.6863,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.4354,41.0995,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
