-1.0821e-06i + -2.61799e-06j + -1.1205e-05k + 1
-4.24945e-06i + 5.6194e-06j + -6.91954e-06k + 1
-3.19395e-06i + 7.38274e-06j + -6.24828e-06k + 1
-7.50491e-07i + -2.53073e-07j + -6.39663e-06k + 1
-1.72805e-06i + 2.42625e-06j + 4.47722e-06k + 1
-3.70883e-06i + 2.81871e-06j + -7.49619e-06k + 1
-3.4383e-06i + 5.47161e-06j + -1.84132e-06k + 1
-8.67342e-06i + -8.72576e-09j + -6.02078e-06k + 1
-7.91507e-06i + 3.28995e-06j + -1.78984e-05k + 1
2.87979e-06i + 3.59538e-06j + -1.68075e-05k + 1
-3.35137e-06i + 2.70553e-07j + -6.51073e-06k + 1
-2.79253e-07i + 3.66519e-06j + 6.15229e-06k + 1
2.3562e-07i + 4.37205e-06j + 3.35976e-06k + 1
2.90597e-06i + -2.81871e-06j + 1.60047e-05k + 1
-3.74336e-06i + 1.56191e-06j + 3.16746e-06k + 1
-4.68621e-06i + 2.03331e-06j + -3.29082e-05k + 1
-2.80125e-06i + 6.56244e-06j + -1.0472e-07k + 1
3.42957e-06i + -5.80322e-06j + -6.09993e-06k + 1
-4.18006e-06i + 5.83813e-06j + 7.12967e-06k + 1
4.53786e-07i + 9.59931e-07j + -2.39983e-06k + 1
-1.63205e-06i + -9.68755e-07j + -4.73817e-05k + 1
-1.59698e-06i + 3.83972e-07j + -1.45386e-05k + 1
2.59181e-06i + -1.28282e-06j + -3.3266e-05k + 1
-4.7473e-06i + 2.21657e-06j + 1.74271e-05k + 1
-9.33751e-07i + 6.67588e-06j + 9.48587e-06k + 1
-4.97419e-07i + 1.92859e-06j + 2.37365e-06k + 1
9.77287e-07i + 8.81303e-07j + 1.61689e-05k + 1
-5.23598e-08i + 5.97775e-06j + 5.00909e-06k + 1
-2.82743e-06i + 4.6513e-06j + -3.56658e-05k + 1
-3.46448e-06i + 4.53786e-07j + 1.41721e-05k + 1
-6.82424e-06i + 9.86111e-07j + -1.7174e-05k + 1
-9.18916e-06i + 6.37045e-07j + 5.19235e-06k + 1
7.85477e-07i + 5.1056e-06j + 5.61965e-05k + 1
-5.20108e-06i + 5.25344e-06j + -1.96e-05k + 1
-4.29351e-06i + 7.97615e-06j + -1.26973e-05k + 1
-9.42478e-07i + 9.59931e-07j + -3.86503e-05k + 1
-1.13446e-06i + 1.61443e-06j + 3.02815e-06k + 1
-2.01586e-06i + 8.72649e-09j + -7.94125e-06k + 1
-2.56563e-06i + 1.80642e-06j + -2.65116e-05k + 1
-5.16566e-06i + 4.22327e-06j + -9.55472e-06k + 1
-6.67588e-06i + 2.10312e-06j + 2.522e-05k + 1
-2.14675e-06i + 1.05767e-05j + -2.60316e-05k + 1
-3.39467e-06i + 6.45772e-07j + -1.47306e-05k + 1
-1.72788e-06i + 5.41052e-06j + -3.54564e-05k + 1
-7.59218e-06i + 7.48746e-06j + -2.43386e-05k + 1
-3.73538e-06i + -6.10929e-08j + 4.21452e-05k + 1
-7.06858e-07i + -1.92859e-06j + 1.41197e-05k + 1
-1.85005e-06i + 3.63028e-06j + 2.95135e-05k + 1
