roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,8.7429,-2.5714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700,1053,1051,1051,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
109.0828,36.5438,47.5872,-0.0686,-0.0686,-20.4000,-20.6400,-110.0800,0.0000,-0.2881,-0.1264,-0.3416,846,1160,1156,1156,2000,1000,1000,1000,1500,1500,1500,1500,1500,1.4944,0.7425,-0.3838,-0.0020,0.0100,0.9464,-0.5033,0.7561,-0.1799,-0.0728,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3500,-100.0000,-0.0185,-1.3500,-100.0000,-0.0185
109.0829,36.5466,47.5868,0.1371,0.0686,-13.4400,-13.5600,-72.3200,0.0000,-0.2726,-0.1109,-0.2290,951,1276,1274,1274,1000,1000,1505,1000,1000,1505,1005,1000,1505,1.0784,1.0720,-0.1760,0.0002,0.0083,0.9900,-0.3906,0.6124,-0.0673,-0.1545,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0811,36.5459,47.5914,-0.0686,-0.0686,-6.8400,-6.9000,-36.8000,0.0000,-0.2578,-0.0964,-0.1231,985,1386,1385,1385,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.6727,1.5035,0.0629,0.0003,0.0046,0.9895,-0.2845,0.4774,0.0383,-0.2311,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0772,36.5417,47.5997,0.0686,-0.0000,-1.9800,-2.1000,-11.2000,0.0000,-0.2470,-0.0860,-0.0470,995,1467,1465,1465,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.3068,1.9318,0.2812,-0.0029,0.0014,0.9961,-0.2079,0.3799,0.1140,-0.2860,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0727,36.5354,47.6103,0.0000,0.0686,-0.4800,-0.6000,-3.2000,0.0000,-0.2436,-0.0828,-0.0232,998,1501,1498,1498,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.2421,2.0992,0.3680,-0.0040,0.0009,0.9957,-0.1840,0.3496,0.1376,-0.3032,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0704,36.5285,47.6228,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2424,-0.0815,-0.0135,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.5085,2.1984,0.3447,-0.0058,-0.0036,0.9967,-0.1745,0.3374,0.1474,-0.3103,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0723,36.5223,47.6353,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2426,-0.0814,-0.0134,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,1.0539,2.1252,0.2865,-0.0051,-0.0079,0.9893,-0.1746,0.3375,0.1478,-0.3107,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0811,36.5177,47.6484,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2429,-0.0814,-0.0124,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,1.6617,2.0324,-0.0224,-0.0082,-0.0062,0.9957,-0.1740,0.3367,0.1491,-0.3119,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0957,36.5157,47.6615,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2432,-0.0814,-0.0118,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,2.1474,2.0486,-0.2207,-0.0066,-0.0047,0.9890,-0.1736,0.3364,0.1500,-0.3127,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1164,36.5149,47.6773,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2434,-0.0815,-0.0113,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,2.5101,2.2321,-0.3816,-0.0048,-0.0021,0.9958,-0.1733,0.3362,0.1506,-0.3135,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1413,36.5155,47.6956,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2435,-0.0815,-0.0104,998,1504,1501,1501,1000,1000,1505,1000,1000,1505,1005,1000,1505,2.6835,2.3367,-0.6811,-0.0046,0.0019,0.9930,-0.1724,0.3354,0.1516,-0.3146,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1674,36.5179,47.7169,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2435,-0.0816,-0.0102,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,2.4275,2.4683,-0.7490,-0.0112,0.0078,0.9990,-0.1721,0.3353,0.1516,-0.3148,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1891,36.5205,47.7372,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2433,-0.0815,-0.0102,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,1.9714,2.2467,-0.7492,-0.0113,0.0099,0.9920,-0.1721,0.3350,0.1516,-0.3145,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.2014,36.5248,47.7526,0.1371,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2430,-0.0812,-0.0104,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,1.2378,1.6703,-0.7278,-0.0170,0.0107,1.0006,-0.1721,0.3346,0.1514,-0.3139,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1995,36.5291,47.7594,0.0686,-0.0000,0.1200,0.0000,0.0000,0.0000,-0.2426,-0.0810,-0.0112,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.2682,1.1267,-0.4489,-0.0163,0.0160,0.9900,-0.1728,0.3348,0.1504,-0.3124,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1833,36.5331,47.7578,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2422,-0.0807,-0.0121,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.4861,0.4740,-0.1647,-0.0149,0.0150,0.9930,-0.1736,0.3350,0.1494,-0.3109,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1565,36.5355,47.7501,0.1371,-0.0000,0.1200,0.0000,0.0000,0.0000,-0.2419,-0.0807,-0.0129,998,1504,1501,1501,1000,1000,1505,1000,1000,1505,1005,1000,1505,-1.1047,0.3862,0.1181,-0.0080,0.0074,0.9904,-0.1741,0.3355,0.1483,-0.3097,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.1246,36.5356,47.7411,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2417,-0.0807,-0.0136,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-1.3332,0.3764,0.3480,-0.0059,0.0049,1.0007,-0.1746,0.3360,0.1475,-0.3088,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0920,36.5329,47.7332,0.0686,-0.0000,0.1200,0.0000,0.0000,0.0000,-0.2416,-0.0808,-0.0139,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-1.3380,0.6413,0.4723,-0.0071,-0.0011,0.9930,-0.1748,0.3364,0.1469,-0.3085,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0626,36.5274,47.7279,0.0000,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2417,-0.0809,-0.0145,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-1.1037,0.9113,0.6791,-0.0083,-0.0013,0.9970,-0.1753,0.3371,0.1462,-0.3080,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0372,36.5207,47.7253,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2417,-0.0810,-0.0145,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.8138,1.1003,0.6706,-0.0075,-0.0017,0.9964,-0.1753,0.3372,0.1463,-0.3082,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
109.0167,36.5153,47.7241,0.0000,-0.0000,0.1200,0.0000,0.0000,0.0000,-0.2419,-0.0809,-0.0135,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.3841,1.0223,0.3650,-0.0114,-0.0052,0.9927,-0.1745,0.3363,0.1474,-0.3093,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9996,36.5131,47.7221,0.1371,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2420,-0.0809,-0.0131,998,1504,1501,1501,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.1111,0.8884,0.1942,-0.0131,-0.0031,0.9909,-0.1742,0.3359,0.1481,-0.3098,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9842,36.5134,47.7191,0.0000,-0.0686,0.1200,0.0000,0.0000,0.0000,-0.2420,-0.0808,-0.0122,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.0836,0.7286,-0.0765,-0.0132,0.0008,0.9900,-0.1735,0.3350,0.1490,-0.3106,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9697,36.5160,47.7159,0.0686,0.1371,0.1200,0.0000,0.0000,0.0000,-0.2420,-0.0808,-0.0119,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.0508,0.6233,-0.2029,-0.0100,0.0022,0.9982,-0.1731,0.3346,0.1494,-0.3109,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9540,36.5204,47.7128,0.0686,0.0686,0.1200,0.0000,0.0000,0.0000,-0.2419,-0.0808,-0.0118,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.1022,0.6019,-0.2896,-0.0130,0.0051,0.9933,-0.1729,0.3344,0.1493,-0.3108,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9401,36.5334,47.7164,0.0000,-0.0000,0.1200,0.0000,0.0000,0.0000,-0.2419,-0.0807,-0.0057,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.0095,0.4608,-2.1904,-0.0046,-0.0009,1.0022,-0.1669,0.3283,0.1554,-0.3169,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9238,36.5536,47.7199,0.0686,-0.0000,0.1200,0.0000,0.0000,0.0000,-0.2414,-0.0809,-0.0109,996,1502,1500,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.9903,0.7124,-0.7212,0.0063,0.0295,0.9843,-0.1714,0.3332,0.1496,-0.3114,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
108.9000,36.5430,47.7177,0.1371,0.1371,0.1200,0.0000,0.0000,0.0000,-0.2415,-0.0810,-0.0186,998,1504,1501,1501,1000,1000,1505,1000,1000,1505,1005,1000,1505,-0.7871,1.0037,1.9884,0.0048,0.0168,1.0032,-0.1791,0.3410,0.1419,-0.3039,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
