roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,8.9486,-2.9143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1504,1504,1501,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-37.8814,17.0193,-5.9491,-0.4800,0.2743,0.1200,0.1200,0.0000,0.0000,0.0855,-0.0373,0.0022,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.7478,0.0218,-0.2013,-0.0136,-0.0366,0.9474,0.1249,-0.0504,-0.1206,0.0461,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.8379,17.0058,-5.9402,-0.4114,0.2743,0.1200,0.1200,0.0000,0.0000,0.0854,-0.0373,0.0018,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.7666,0.1348,-0.0898,-0.0161,-0.0375,0.9859,0.1245,-0.0499,-0.1208,0.0463,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.7935,16.9924,-5.9301,-0.4800,0.2057,0.1200,0.1200,0.0000,0.0000,0.0854,-0.0372,0.0016,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.5868,0.0848,0.0110,-0.0161,-0.0367,0.9890,0.1241,-0.0497,-0.1210,0.0466,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.7495,16.9795,-5.9199,-0.5486,0.1371,0.1200,0.1200,0.0000,0.0000,0.0852,-0.0372,0.0018,998,1504,1504,1501,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.6103,0.0815,-0.0658,-0.0176,-0.0404,0.9880,0.1242,-0.0498,-0.1207,0.0463,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.7051,16.9665,-5.9096,-0.4114,0.2743,0.1200,0.1200,0.0000,0.0000,0.0851,-0.0371,0.0016,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.6745,-0.0128,0.0034,-0.0179,-0.0420,0.9837,0.1238,-0.0496,-0.1207,0.0464,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.6596,16.9521,-5.8981,-0.6171,0.2057,0.1200,0.1200,0.0000,0.0000,0.0850,-0.0371,0.0015,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.8004,-0.0934,0.0138,-0.0184,-0.0438,0.9821,0.1236,-0.0494,-0.1205,0.0464,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.6125,16.9364,-5.8862,-0.4800,0.2743,0.1200,0.1200,0.0000,0.0000,0.0848,-0.0370,0.0018,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.9537,-0.2476,-0.0603,-0.0174,-0.0463,0.9885,0.1236,-0.0497,-0.1199,0.0460,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.5640,16.9199,-5.8753,-0.4800,0.2743,0.1200,0.1200,0.0000,0.0000,0.0846,-0.0370,0.0022,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,1.1601,-0.1594,-0.2239,-0.0190,-0.0432,0.9914,0.1238,-0.0499,-0.1193,0.0454,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.5134,16.9036,-5.8653,-0.4800,0.2743,0.1200,0.1200,0.0000,0.0000,0.0844,-0.0370,0.0022,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,1.3294,-0.0557,-0.2089,-0.0152,-0.0412,0.9869,0.1236,-0.0497,-0.1191,0.0452,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.4612,16.8874,-5.8566,-0.4800,0.2743,0.1200,0.1200,0.0000,0.0000,0.0842,-0.0369,0.0024,998,1504,1502,1501,1000,1000,1505,1000,1000,1505,1503,1407,1505,1.5336,-0.0293,-0.2926,-0.0153,-0.0421,0.9827,0.1235,-0.0497,-0.1188,0.0449,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.4073,16.8712,-5.8474,-0.4800,0.2743,0.1200,0.1200,0.0000,0.0000,0.0840,-0.0369,0.0025,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,1.6968,-0.0463,-0.3058,-0.0143,-0.0382,0.9825,0.1234,-0.0496,-0.1184,0.0446,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.3521,16.8555,-5.8383,-0.4114,0.3429,0.1200,0.1200,0.0000,0.0000,0.0839,-0.0369,0.0024,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,1.7428,-0.0037,-0.2504,-0.0181,-0.0391,0.9876,0.1231,-0.0494,-0.1184,0.0446,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-37.2976,16.8398,-5.8296,-0.5486,0.2057,0.1200,0.1200,0.0000,0.0000,0.0838,-0.0369,0.0023,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,1.5979,0.0413,-0.2468,-0.0148,-0.0391,0.9857,0.1230,-0.0493,-0.1184,0.0446,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
