roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,8.7429,-3.2571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1504,1502,1501,1000,1000,1505,1000,1000,1505,1503,1407,1505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-172.8667,8.8535,-96.5202,0.5486,0.6857,0.1200,0.1200,0.0000,0.0000,0.3842,-0.0192,0.0116,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.0587,-0.0431,0.2965,-0.0180,-0.0116,0.9485,0.4150,-0.3765,-0.3919,0.3534,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-172.8878,8.8564,-96.5234,0.4800,0.6857,0.1200,0.1200,0.0000,0.0000,0.3844,-0.0192,0.0114,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.2763,-0.1275,0.3812,-0.0135,-0.0098,0.9857,0.4149,-0.3765,-0.3922,0.3538,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-172.9110,8.8594,-96.5269,0.4800,0.6171,0.1200,0.1200,0.0000,0.0000,0.3844,-0.0192,0.0116,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.2998,-0.0592,0.2953,-0.0176,-0.0115,0.9820,0.4153,-0.3768,-0.3920,0.3535,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-172.9339,8.8624,-96.5294,0.5486,0.6857,0.2400,0.2400,0.3200,0.0000,0.3847,-0.0190,0.0135,997,1503,1503,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.3069,-0.0058,0.2840,-0.0143,-0.0123,0.9896,0.4173,-0.3793,-0.3902,0.3522,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-172.9567,8.8644,-96.5320,0.4800,0.7543,0.1200,0.1200,0.0000,0.0000,0.3845,-0.0193,0.0117,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.2693,0.0884,0.2526,-0.0196,-0.0125,0.9864,0.4155,-0.3769,-0.3921,0.3535,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-172.9796,8.8658,-96.5349,0.5486,0.6857,0.1200,0.1200,0.0000,0.0000,0.3846,-0.0193,0.0117,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.2709,0.1220,0.2755,-0.0197,-0.0122,0.9882,0.4155,-0.3769,-0.3922,0.3536,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-173.0027,8.8674,-96.5380,0.5486,0.6857,0.1200,0.1200,0.0000,0.0000,0.3846,-0.0193,0.0116,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.2642,0.0636,0.2977,-0.0179,-0.0132,0.9909,0.4155,-0.3769,-0.3923,0.3537,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-173.0245,8.8692,-96.5409,0.4800,0.6857,0.1200,0.1200,0.0000,0.0000,0.3846,-0.0193,0.0116,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-2.1221,0.0512,0.2907,-0.0157,-0.0157,0.9854,0.4155,-0.3769,-0.3923,0.3537,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
-173.0449,8.8711,-96.5440,0.5486,0.6857,0.1200,0.1200,0.0000,0.0000,0.3846,-0.0193,0.0113,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1503,1407,1505,-1.9841,0.0832,0.3628,-0.0163,-0.0176,0.9882,0.4152,-0.3766,-0.3926,0.3539,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,-121.0000,-0.0152,-1.3605,-121.0000,-0.0152
